Altium Designer Pick and Place Locations
D:\anh_khoa\document\project\altium\space_liin_tech\NANORACK_PHOTODIODE\NANORACK_PHOTODIODE_V1.3.0\01_DESIGN\Project Outputs for NANORACK_PHOTODIODE\Pick Place for PHOTODIODE_V1.3.0.csv

========================================================================================================================
File Design Information:

Date:       17/09/25
Time:       08:13
Revision:   8467aa399c50727b594bf8acf525444a29994adc
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C26","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","36.8760","90","0603"
"C24","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","41.3240","90","0603"
"C17","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","51.2760","90","0603"
"C15","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","55.7240","90","0603"
"C6","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","65.6760","90","0603"
"C3","0.22uF/25V","TopLayer","CN-SMD-0603","49.1640","70.1240","90","0603"
"U3","ADG1414BRUZ","TopLayer","TSSOP24","58.2200","53.5000","90","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"R10","4.7K 1%","TopLayer","RES-SMD-0603","52.6321","55.7240","270","0603"
"PD1","Photodiode","BottomLayer","VEMD5080X01","42.1020","71.5000","180",""
"C25","0.22uF/25V","TopLayer","CN-SMD-0603","50.8980","36.8760","90","0603"
"C23","0.22uF/25V","TopLayer","CN-SMD-0603","52.6320","36.8760","270","0603"
"C22","10uF 16V","TopLayer","CAP_TANT_1206","53.2128","29.7180","180","Polarized Capacitor (Axial)"
"C19","0.22uF/25V","TopLayer","CN-SMD-0603","50.2540","23.8760","0","0603"
"C13","0.22uF/25V","TopLayer","CN-SMD-0603","50.2457","27.4320","0","0603"
"C12","0.22uF/25V","TopLayer","CN-SMD-0603","50.2457","25.6540","0","0603"
"R18","0R","TopLayer","RES-SMD-0603","71.2301","72.3899","180","0603"
"R7","0R/DNP","TopLayer","RES-SMD-0603","71.2301","70.1039","180","0603"
"U2","ADG1414BRUZ","TopLayer","TSSOP24","58.2200","67.9000","90","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"C31","0.22uF/25V","TopLayer","CN-SMD-0603","54.8850","12.1920","180","0603"
"C30","0.22uF/25V","TopLayer","CN-SMD-0603","46.8518","12.1920","180","0603"
"R6","4.7K 1%","TopLayer","RES-SMD-0603","52.6320","70.1240","270","0603"
"R1","4.7K 1%","TopLayer","RES-SMD-0603","50.8980","70.1240","270","0603"
"C5","0.22uF/25V","TopLayer","CN-SMD-0603","50.8980","65.6760","90","0603"
"C2","0.22uF/25V","TopLayer","CN-SMD-0603","52.6320","65.6760","270","0603"
"R9","4.7K 1%","TopLayer","RES-SMD-0603","50.8980","55.7240","270","0603"
"C9","0.22uF/25V","TopLayer","CN-SMD-0603","53.7746","25.6540","0","0603"
"U5","ADG1414BRUZ","TopLayer","TSSOP24","58.2200","39.1000","90","IC SW SPST-NOX8 11.5OHM 24TSSOP"
"H1","HOLD","TopLayer","M3_-_6mm","46.5300","82.4000","0",""
"U9","ICL7660","TopLayer","SO8","27.3397","23.5188","90","CMOS Voltage Converters"
"C48","10uF 16V","TopLayer","CAP_TANT_1206","28.1014","29.1099","0","Polarized Capacitor (Axial)"
"C47","10uF 16V","TopLayer","CAP_TANT_1206","27.9747","17.7100","0","Polarized Capacitor (Axial)"
"C46","10uF 16V","TopLayer","CAP_TANT_1206","24.1300","29.1099","0","Polarized Capacitor (Axial)"
"JP1","JUMP2","TopLayer","Jump2","18.8920","28.6303","90",""
"TP5","Test_Point","TopLayer","TESTPOINT","64.7700","41.1480","0",""
"R14","4.7K 1%","TopLayer","RES-SMD-0603","50.8980","41.3240","270","0603"
"H5","HOLD","TopLayer","M3_-_6mm","81.4477","25.6000","0",""
"H2","HOLD","TopLayer","M3_-_6mm","3.6000","25.6000","0",""
"H9","HOLD","TopLayer","M3_-_6mm","3.6000","36.4000","0",""
"H8","HOLD","TopLayer","M3_-_6mm","3.6000","81.4000","0",""
"H7","HOLD","TopLayer","M3_-_6mm","81.4000","81.4000","0",""
"H6","HOLD","TopLayer","M3_-_6mm","81.4000","36.4000","0",""
"H4","HOLD","TopLayer","M3_-_6mm","81.4000","3.6000","0",""
"H3","HOLD","TopLayer","M3_-_6mm","3.6000","3.6000","0",""
"U8","TPS7A4533DCQR","TopLayer","SOT223-6","35.1151","18.5207","180","IC REG LINEAR 3.3V 1.5A SOT223-6"
"U6","ADS8329","TopLayer","TSSOP16","44.9518","15.8750","180","IC ADC 16BIT SAR 16TSSOP"
"U7","TPS5430DDAR","TopLayer","HSOP8","16.6570","19.8161","180","8SOP"
"U4","REF1930","TopLayer","SOT23-5","48.4518","20.9550","90","REF1941AIDDCT"
"U1","OPA4340","TopLayer","SSOP16","56.3075","20.8280","270","IC CMOS 4 CIRCUIT 16SSOP"
"TP12","Test_Point","TopLayer","TESTPOINT","64.7700","21.8440","180",""
"TP11","Test_Point","TopLayer","TESTPOINT","64.7700","65.2780","180",""
"TP10","Test_Point","TopLayer","TESTPOINT","64.7700","60.4520","180",""
"TP9","Test_Point","TopLayer","TESTPOINT","64.7700","74.9300","90",""
"TP8","Test_Point","TopLayer","TESTPOINT","64.7700","55.6260","180",""
"TP7","Test_Point","TopLayer","TESTPOINT","64.7700","50.8000","180",""
"TP6","Test_Point","TopLayer","TESTPOINT","64.7700","45.9740","180",""
"TP4","Test_Point","TopLayer","TESTPOINT","64.7700","31.4960","180",""
"TP3","Test_Point","TopLayer","TESTPOINT","64.7700","36.3220","180",""
"TP1","Test_Point","TopLayer","TESTPOINT","64.7700","70.1040","180",""
"TP2","Test_Point","TopLayer","TESTPOINT","64.7700","26.6700","180",""
"R13","2K 1%/DNP","TopLayer","RES-SMD-0603","44.9108","23.6767","180","0603"
"R12","10K 1%/DNP","TopLayer","RES-SMD-0603","44.9016","21.6993","180","0603"
"R23","3.24K 0.1%","TopLayer","RES-SMD-0603","24.4600","16.9100","90","ERA-3AEB3241V"
"R22","10K 1%","TopLayer","RES-SMD-0603","22.8600","16.9100","270","0603"
"R19","4.7K 1%","TopLayer","RES-SMD-0603","41.5670","19.8120","0","0603"
"R20","4.7K 1%","TopLayer","RES-SMD-0603","41.5670","21.6993","0","0603"
"R21","4.7K 1%","TopLayer","RES-SMD-0603","41.5670","23.6767","0","0603"
"R15","4.7K 1%","TopLayer","RES-SMD-0603","52.6320","41.3240","270","0603"
"R17","22R 1%","TopLayer","RES-SMD-0603","51.1810","17.6237","0","0603"
"R16","22R 1%","TopLayer","RES-SMD-0603","52.1970","15.1650","90","0603"
"R11","10K 1%/DNP","TopLayer","RES-SMD-0603","44.9016","25.6540","180","0603"
"R4","51R 1%","TopLayer","RES-SMD-0603","61.2985","21.6789","0","0603"
"R5","10K 1%","TopLayer","RES-SMD-0603","61.2985","19.9771","180","0603"
"R2","10K 1%","TopLayer","RES-SMD-0603","57.8950","15.2020","270","0603"
"R3","10K 1%","TopLayer","RES-SMD-0603","55.9900","15.2020","90","0603"
"R8","330k 1%","TopLayer","RES-SMD-0603","58.6950","27.5590","0","0603"
"PD19","Photodiode","BottomLayer","VEMD5080X01","23.4340","42.7000","180",""
"PD18","Photodiode","BottomLayer","VEMD5080X01","32.7680","42.7000","180",""
"PD20","Photodiode","BottomLayer","VEMD5080X01","14.1000","42.7000","180",""
"PD17","Photodiode","BottomLayer","VEMD5080X01","42.1020","42.7000","180",""
"PD24","Photodiode","BottomLayer","VEMD5080X01","14.1000","35.5000","180",""
"PD23","Photodiode","BottomLayer","VEMD5080X01","23.4340","35.5000","180",""
"PD22","Photodiode","BottomLayer","VEMD5080X01","32.7680","35.5000","180",""
"PD21","Photodiode","BottomLayer","VEMD5080X01","42.1020","35.5000","180",""
"PD11","Photodiode","BottomLayer","VEMD5080X01","23.4340","57.1000","180",""
"PD10","Photodiode","BottomLayer","VEMD5080X01","32.7680","57.1000","180",""
"PD12","Photodiode","BottomLayer","VEMD5080X01","14.1000","57.1000","180",""
"PD9","Photodiode","BottomLayer","VEMD5080X01","42.1020","57.1000","180",""
"PD16","Photodiode","BottomLayer","VEMD5080X01","14.1000","49.9000","180",""
"PD15","Photodiode","BottomLayer","VEMD5080X01","23.4340","49.9000","180",""
"PD14","Photodiode","BottomLayer","VEMD5080X01","32.7680","49.9000","180",""
"PD13","Photodiode","BottomLayer","VEMD5080X01","42.1020","49.9000","180",""
"PD2","Photodiode","BottomLayer","VEMD5080X01","32.7680","71.5000","180",""
"PD3","Photodiode","BottomLayer","VEMD5080X01","23.4340","71.5000","180",""
"PD4","Photodiode","BottomLayer","VEMD5080X01","14.1000","71.5000","180",""
"PD8","Photodiode","BottomLayer","VEMD5080X01","14.1000","64.3000","180",""
"PD7","Photodiode","BottomLayer","VEMD5080X01","23.4340","64.3000","180",""
"PD6","Photodiode","BottomLayer","VEMD5080X01","32.7680","64.3000","180",""
"PD5","Photodiode","BottomLayer","VEMD5080X01","42.1020","64.3000","180",""
"L1","15uH/3.5A","TopLayer","SRP7050TA","16.6570","10.0140","0","SRP7050TA-150M"
"J1","Conn shunt","TopLayer","M50-3930342","44.9518","9.8870","0","WR-PHD 2.54 mm Angled Socket Header"
"J2","0532610971","TopLayer","0532610971","76.5455","59.1752","270","WR-PHD 2.54 mm Angled Socket Header"
"D5","SS54","TopLayer","DIO-SMD-A","9.4490","12.0140","90","DIODE SCHOTTKY 40V 5A SMA"
"D4","S2305","TopLayer","SOT23-123","70.8880","56.2046","90","TVS DIODE 5VWM 10.8VC SOT23, P/N:  
S2305"
"D3","S2305","TopLayer","SOT23-123","70.8880","59.8038","90","TVS DIODE 5VWM 10.8VC SOT23, P/N:  
S2305"
"D2","S2305","TopLayer","SOT23-123","70.8880","63.5538","90","TVS DIODE 5VWM 10.8VC SOT23, P/N:  
S2305"
"D1","S2305","TopLayer","SOT23-123","70.8880","67.1766","90","TVS DIODE 5VWM 10.8VC SOT23, P/N:  
S2305"
"C44","0.22uF/25V","TopLayer","CN-SMD-0603","33.5219","13.8240","0","0603"
"C45","0.22uF/25V","TopLayer","CN-SMD-0603","33.5219","23.6920","0","0603"
"C41","0.22uF/25V","TopLayer","CN-SMD-0603","37.7926","23.6920","0","0603"
"C40","0.22uF/25V","TopLayer","CN-SMD-0603","37.7926","13.8217","0","0603"
"C32","0.22uF/25V","TopLayer","CN-SMD-0603","44.9108","19.8120","0","0603"
"C28","0.22uF/25V","TopLayer","CN-SMD-0603","51.0920","12.1920","180","0603"
"C27","0.22uF/25V","TopLayer","CN-SMD-0603","42.9018","12.1920","180","0603"
"C39","0.22uF/25V","TopLayer","CN-SMD-0603","27.9814","13.9320","180","0603"
"C38","0.22uF/25V","TopLayer","CN-SMD-0603","10.2490","17.2530","180","0603"
"C37","100uF/16V","TopLayer","CAP_TANT_2312","23.4188","7.7788","270","Polarized Capacitor (Axial)"
"C36","100uF/16V","TopLayer","CAP_TANT_2312","16.6570","25.5080","0","Polarized Capacitor (Axial)"
"C35","0.22uF/25V","TopLayer","CN-SMD-0603","23.6600","13.9320","180","0603"
